algo,env.reward_type,env.set_additional_goal,env,TimestepsSoFar,EpRewMean,loss_pol_entpen,EpThisIter,loss_vf_loss,EpisodesSoFar,loss_ent,ev_tdlam_before,loss_pol_surr,TimeElapsed,EpLenMean,loss_kl,success percentage,suc_percent,perf_flag,best_suc_percent
ppo,distance_lambda_10,angle,PlanarQuadEnv-v0,,,,,,,,,,,,,,,,
,,,,13306,-406.65408920120194,0.0,129,36107.57,1411,1.2370903,1.6689300537109375e-06,-0.026812883,440.60700583457947,7.5,0.017156376,,,,
,,,,14332,-408.71636252947667,0.0,110,14424.571,1521,1.2257376,-6.29425048828125e-05,-0.016473949,473.9743330478668,8.88,0.012660348,,,,
,,,,15358,-404.88059865170993,0.0,117,12955.582,1638,1.2253263,0.0005328655242919922,-0.029971214,507.6356325149536,8.68,0.012262556,,,,
,,,,16381,-401.22240385979586,0.0,127,31651.064,1765,1.2001693,6.669759750366211e-05,-0.035869163,543.7588875293732,7.28,0.02181355,,,,
,,,,17408,-432.041895087388,0.0,86,11798.119,1851,1.1996611,-0.0009649991989135742,-0.025825772,571.7954254150391,11.48,0.008469791,,,,
,,,,18429,-421.45276971241555,0.0,112,22600.787,1963,1.2023249,8.761882781982422e-06,-0.023235083,603.8877742290497,9.24,0.020407757,,,,
,,,,19456,-424.71779866246357,0.0,133,27987.586,2096,1.1953211,2.0265579223632812e-06,-0.032562546,639.5686807632446,8.28,0.01208439,,,,
,,,,20472,-399.33133510232653,0.0,137,15899.8955,2233,1.1934794,-0.0018922090530395508,-0.026400259,674.472333908081,7.03,0.010795916,,,,
,,,,21502,-382.2159216313254,0.0,164,19927.633,2397,1.2019081,5.364418029785156e-06,-0.02557093,711.8898711204529,5.52,0.020841444,,,,
,,,,22516,-394.6180887593047,0.0,133,9582.347,2530,1.2072439,-0.00012159347534179688,-0.028813746,746.1260724067688,7.29,0.016569661,,,,
,,,,23548,-391.86512809197137,0.0,143,9195.101,2673,1.2144582,-0.0002721548080444336,-0.026706658,780.7196707725525,6.88,0.009376237,,,,
,,,,24568,-397.53487681573455,0.0,153,13709.171,2826,1.2148869,3.2782554626464844e-06,-0.023846934,816.2126173973083,6.73,0.021499932,,,,
,,,,25594,-403.80247946156106,0.0,156,18993.516,2982,1.2132071,-1.2874603271484375e-05,-0.030914038,851.3094952106476,6.68,0.019393787,,,,
,,,,26622,-413.1663368094069,0.0,117,13643.82,3099,1.203433,1.1324882507324219e-06,-0.024277069,879.3934020996094,9.07,0.017091958,,,,
,,,,27645,-382.6389916587304,0.0,182,7230.1323,3281,1.1802156,-0.0030821561813354492,-0.024299944,915.7588753700256,5.62,0.014774764,,,,
