env.set_additional_goal,algo,env.reward_type,env,loss_vf_loss,TimeElapsed,EpLenMean,EpThisIter,ev_tdlam_before,EpisodesSoFar,loss_ent,TimestepsSoFar,loss_kl,loss_pol_entpen,loss_pol_surr,EpRewMean,suc_percent,best_suc_percent,success percentage,perf_flag
angle,ppo,hand_craft,PlanarQuadEnv-v0,,,,,,,,,,,,,,,,
,,,,,79.64321541786194,17.65,25,,141,,2550,,,,594.6679843750001,,,0.7375886524822695,
,,,,273641.38,29.024177312850952,19.20754716981132,53,0.1280517578125,53,0.6052445,1018,0.011073167,0.0,-0.041822698,456.6682827240566,,,,
,,,,256623.98,59.525792598724365,17.85,61,0.0721084475517273,114,0.59420305,2031,0.012475734,0.0,-0.035735518,337.00197656250003,,,,
,,,,240907.45,91.43678593635559,16.3,57,0.09135037660598755,171,0.59035885,3051,0.015502933,0.0,-0.04189718,219.63577109374998,,,,
,,,,265792.75,123.56155037879944,17.47,57,0.07353734970092773,228,0.59130657,4089,0.013333104,0.0,-0.03794824,353.46877500000005,,,,
,,,,267573.56,156.48676013946533,17.35,57,0.04428225755691528,285,0.5867194,5101,0.011849205,0.0,-0.039591003,343.46877500000005,,,,
,,,,223410.83,190.67851281166077,16.18,63,0.07504260540008545,348,0.5660724,6125,0.013759203,0.0,-0.048251476,176.25247070312497,,,,
,,,,264904.97,222.41990327835083,17.7,54,0.08771193027496338,402,0.53970045,7149,0.013476311,0.0,-0.04161533,286.402371875,,,,
,,,,235912.88,257.3600001335144,15.61,73,0.0415378212928772,475,0.5193378,8179,0.013867438,0.0,-0.04599884,206.252470703125,,,,
,,,,278275.84,289.5959892272949,17.17,52,0.07042717933654785,527,0.4978652,9200,0.014264796,0.0,-0.04161723,313.46877500000005,,,,
,,,,225303.89,321.78888297080994,19.49,53,0.13128012418746948,580,0.4809623,10231,0.014527673,0.0,-0.046371724,497.60158125000004,,,,
,,,,229155.89,348.0643186569214,20.88,45,0.03399014472961426,625,0.4911126,11244,0.014786918,0.0,-0.03177925,661.884288671875,,,,
,,,,236697.84,378.89036202430725,20.39,55,0.08293426036834717,680,0.4793477,12270,0.014597479,0.0,-0.04836597,598.0512847656249,,,,
,,,,255505.62,411.9621515274048,18.01,57,0.014413833618164062,737,0.47110736,13292,0.020303177,0.0,-0.034696832,410.385276953125,,,,
,,,,223201.61,445.9734675884247,17.21,60,0.03245735168457031,797,0.4500995,14322,0.012353863,0.0,-0.03738016,377.15187773437503,,,,
,,,,228948.5,476.94993257522583,18.58,51,0.007712185382843018,848,0.45710862,15352,0.01875979,0.0,-0.045574125,447.30177890625,,,,
,,,,228777.84,509.30297470092773,20.09,52,0.01794654130935669,900,0.4376674,16375,0.014817085,0.0,-0.044092298,614.6679843750001,,,,
,,,,247150.17,540.510087966919,19.27,55,0.02058488130569458,955,0.43115634,17408,0.0138291605,0.0,-0.038549367,507.751482421875,,,,
,,,,216840.92,572.0052237510681,18.08,56,0.011467993259429932,1011,0.4155386,18418,0.022556923,0.0,-0.04762304,427.30177890625004,,,,
,,,,213247.95,604.915060043335,17.71,57,0.014727294445037842,1068,0.39661962,19448,0.015520103,0.0,-0.04594631,527.90138359375,,,,
,,,,214078.36,633.3116934299469,18.67,51,0.03495478630065918,1119,0.40601444,20457,0.014081456,0.0,-0.041832276,551.284683984375,,,,
,,,,229722.47,664.3737962245941,19.35,55,0.04079902172088623,1174,0.40728647,21487,0.019197103,0.0,-0.050785545,527.60158125,,,,
,,,,216406.69,695.0798981189728,18.35,55,0.033865511417388916,1229,0.4016738,22522,0.018034052,0.0,-0.038673677,507.60158125000004,,,,
,,,,211105.2,727.9655375480652,16.84,64,0.08210182189941406,1293,0.39398336,23538,0.016290858,0.0,-0.04203043,474.36818203125006,,,,
,,,,224068.1,760.1880488395691,17.65,55,0.06827163696289062,1348,0.39224386,24570,0.013451459,0.0,-0.042786565,497.751482421875,,,,
,,,,202166.05,792.5792818069458,17.74,58,0.040830373764038086,1406,0.39335686,25595,0.02095279,0.0,-0.043692805,557.9013835937501,,,,
,,,,230813.53,826.0880966186523,17.64,61,0.04476428031921387,1467,0.38941628,26620,0.0116288215,0.0,-0.036038518,470.68507929687496,,,,
,,,,226064.86,859.4204688072205,15.96,64,0.06866461038589478,1531,0.38315433,27641,0.014580081,0.0,-0.049561072,353.76857734375,,,,
,,,,187947.34,889.7143993377686,18.04,51,0.14896440505981445,1582,0.3733868,28663,0.01742341,0.0,-0.038156677,517.751482421875,,,,
,,,,193481.64,922.0210721492767,18.72,57,0.09937995672225952,1639,0.34770757,29686,0.017333178,0.0,-0.04049311,574.518083203125,,,,
,,,,190005.75,948.1122095584869,19.53,48,0.08346319198608398,1687,0.34465408,30719,0.014358351,0.0,-0.04040326,591.43458515625,,,,
,,,,,,,,,,,,,,,,0.6218138707765264,0.3377630121816168,0.6218138707765264,False
,,,,,15.42617654800415,19.76,25,,25,,494,,,,892.9335968749999,,,0.92,
,,,,,30.164385080337524,20.07843137254902,26,,51,,1024,,,,835.9154848345588,,,0.8627450980392157,
,,,,,46.111140727996826,19.948051948051948,26,,77,,1536,,,,865.1519429788962,,,0.9090909090909091,
,,,,,61.53997731208801,19.38,28,,105,,2039,,,,835.8671937499998,,,0.8952380952380953,
,,,,,76.14521384239197,19.63,24,,129,,2550,,,,855.8671937499998,,,0.9069767441860465,
,,,,235299.58,32.90310215950012,16.721311475409838,61,0.03129619359970093,61,0.3337013,1020,0.013332668,0.0,-0.044180162,297.43374615778686,,,,
,,,,210578.1,63.61645531654358,17.71,54,0.07136517763137817,115,0.32641983,2047,0.017647296,0.0,-0.03982938,504.36818203125006,,,,
