env.reward_type,env.set_additional_goal,env,algo,loss_kl,loss_ent,loss_pol_surr,EpLenMean,ev_tdlam_before,EpRewMean,EpThisIter,EpisodesSoFar,loss_pol_entpen,TimeElapsed,loss_vf_loss,TimestepsSoFar,suc_percent,success percentage,perf_flag,best_suc_percent
distance,angle,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,0.01471109,1.1603787,-0.029741524,5.44,5.245208740234375e-06,-379.6778807847229,152,969,0.0,270.8226692676544,5837.5015,8191,,,,
,,,,0.014093956,1.1724145,-0.031266853,7.28,0.0006720423698425293,-403.2571731408258,138,1107,0.0,305.49958515167236,2171.1042,9205,,,,
,,,,0.014293838,1.1800268,-0.024163632,12.42,0.00042003393173217773,-437.1497678738553,73,1180,0.0,332.36783266067505,4962.5376,10238,,,,
,,,,0.017070454,1.1806126,-0.02898144,6.29,0.0037969350814819336,-388.86447527637506,162,1342,0.0,368.9729907512665,1761.6876,11251,,,,
,,,,0.010551817,1.1937597,-0.026610311,7.55,0.004713714122772217,-394.3048675549409,145,1487,0.0,403.52392983436584,1981.8455,12283,,,,
,,,,0.012517161,1.1949244,-0.03335212,6.96,0.002178966999053955,-397.5192168610915,155,1642,0.0,438.27329778671265,7719.4385,13309,,,,
,,,,0.01202985,1.1889944,-0.028962374,5.67,-0.0016329288482666016,-405.93643331541796,165,1807,0.0,474.27397656440735,7872.936,14328,,,,
,,,,0.011986185,1.1825016,-0.031641364,5.84,0.014405906200408936,-396.87391021590213,152,1959,0.0,509.0140073299408,7724.2397,15352,,,,
,,,,0.009776215,1.1991367,-0.029311253,5.89,0.06361311674118042,-387.2215094945614,160,2119,0.0,543.9770143032074,1665.4973,16368,,,,
,,,,0.0140742725,1.203536,-0.031671762,5.92,0.03930032253265381,-387.2275918287973,174,2293,0.0,580.3899703025818,2820.3213,17407,,,,
,,,,0.014524811,1.2032833,-0.034375295,7.71,0.05533158779144287,-402.7633649678603,135,2428,0.0,613.3548429012299,3513.1016,18427,,,,
,,,,0.018694133,1.2045629,-0.025519315,5.34,0.04493916034698486,-386.7503048216339,133,2561,0.0,644.7480089664459,5152.6636,19453,,,,
,,,,0.015911661,1.191994,-0.029390333,5.42,0.04335123300552368,-380.4005402071457,186,2747,0.0,681.3045332431793,4305.19,20480,,,,
,,,,0.008742647,1.2057211,-0.029905701,5.46,0.12978029251098633,-380.93246890465593,187,2934,0.0,717.5001811981201,711.24744,21501,,,,
,,,,0.016952988,1.1990374,-0.038414825,5.5,0.23776787519454956,-381.6369324990571,182,3116,0.0,753.3126418590546,408.37888,22519,,,,
,,,,0.01143484,1.2027636,-0.025693078,4.85,0.254270076751709,-376.68624621518836,199,3315,0.0,790.0110802650452,351.5914,23545,,,,
