algo,env.reward_type,env,env.set_additional_goal,EpRewMean,loss_pol_entpen,EpLenMean,loss_pol_surr,TimestepsSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,loss_ent,perf_flag,suc_percent,best_suc_percent,success percentage
ppo,distance_lambda_0.1,PlanarQuadEnv-v0,angle,,,,,,,,,,,,,,,,
,,,,-442.36429253532316,0.0,9.89,-0.031575065,14326,104,1.2814998626708984e-05,474.76137948036194,60679.86,0.012348419,1613,1.2930146,,,,
,,,,-434.9880002556858,0.0,12.5,-0.02649939,15357,89,0.0006900429725646973,505.35164070129395,30283.766,0.01606505,1702,1.2607497,,,,
,,,,-435.8011586797289,0.0,10.18,-0.024796676,16375,100,6.735324859619141e-06,539.3783936500549,52182.527,0.01060766,1802,1.2878035,,,,
,,,,-436.8386539782895,0.0,11.42,-0.027897969,17394,92,3.1948089599609375e-05,572.3831403255463,41966.664,0.01175855,1894,1.289501,,,,
,,,,-406.1516882778036,0.0,9.4,-0.028312493,18427,109,-3.4570693969726562e-06,607.4979798793793,29297.24,0.01275727,2003,1.2740802,,,,
,,,,-424.44079204875226,0.0,9.58,-0.02976789,19440,104,4.231929779052734e-06,641.883581161499,46426.633,0.018231066,2107,1.2787378,,,,
,,,,-428.01773344208885,0.0,12.23,-0.028789364,20465,81,0.00016254186630249023,674.5087094306946,35316.266,0.013293069,2188,1.2747386,,,,
,,,,-432.0823965197771,0.0,11.28,-0.029175682,21492,91,0.0001302957534790039,707.1173150539398,39588.1,0.013602715,2279,1.2742194,,,,
,,,,-413.2542018202307,0.0,9.21,-0.026430849,22526,106,0.0001494884490966797,741.5055406093597,35210.867,0.017297616,2385,1.261404,,,,
,,,,-421.06007801399625,0.0,10.61,-0.019733923,23546,93,-2.5153160095214844e-05,772.9367961883545,27739.006,0.012880997,2478,1.2454948,,,,
,,,,-441.1456312996204,0.0,13.68,-0.030471839,24571,72,4.57763671875e-05,800.9909238815308,29489.582,0.014446345,2550,1.2429601,,,,
,,,,-450.7445751350674,0.0,10.95,-0.036673754,25595,95,1.7940998077392578e-05,834.2832467556,52047.215,0.014593957,2645,1.224718,,,,
,,,,-421.87586489552166,0.0,10.38,-0.023471164,26616,95,2.7298927307128906e-05,868.9027075767517,30353.113,0.017188514,2740,1.2235687,,,,
,,,,-441.1574084550025,0.0,14.87,-0.02140148,27634,56,-7.331371307373047e-05,894.2584891319275,22136.215,0.013160354,2796,1.2389739,,,,
,,,,-463.5097799850487,0.0,19.5,-0.03446287,28663,49,9.804964065551758e-05,918.7905440330505,24691.477,0.015038393,2845,1.2224064,,,,
,,,,-420.7850081901951,0.0,9.71,-0.028019123,29687,102,2.3365020751953125e-05,953.0466387271881,31288.227,0.018921925,2947,1.2255324,,,,
,,,,-412.78457548481236,0.0,9.34,-0.021734968,30714,107,2.1636486053466797e-05,988.0470633506775,27437.64,0.01784895,3054,1.2145861,,,,
,,,,,,,,,,,,,,,,False,0.0,0.0002450379808870375,0.0
,,,,-423.54333019886917,,12.5,,500,40,,17.112274169921875,,,40,,,,,0.0
,,,,-433.2998410580936,,12.580246913580247,,1019,41,,33.408472776412964,,,81,,,,,0.0
,,,,-441.56258868560474,,11.88,,1536,46,,50.05756974220276,,,127,,,,,0.0
,,,,-431.0273913903857,,11.26,,2048,44,,66.51230812072754,,,171,,,,,0.0
,,,,-455.3413662898165,,12.97,,2543,34,,81.28468489646912,,,205,,,,,0.0
,,,,-440.07331427548314,0.0,14.485714285714286,-0.029053807,1014,70,-1.1920928955078125e-07,27.942442893981934,22601.62,0.026914604,70,1.2157924,,,,
