env.set_additional_goal,env.reward_type,env,algo,loss_pol_surr,EpLenMean,TimeElapsed,loss_ent,EpThisIter,loss_kl,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,suc_percent,best_suc_percent,perf_flag,success percentage
angle,ttr,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,,25.5375,44.8387405872345,,22,,,801.0594120611831,2043,80,,,,,,0.8875
,,,,,25.616161616161616,56.82581186294556,,19,,,827.223075414932,2536,99,,,,,,0.9090909090909091
,,,,-0.03036182,25.94871794871795,22.736550331115723,0.8801318,39,0.016161893,210313.77,844.7535661540029,1012,39,0.060044169425964355,0.0,,,,
,,,,-0.031983785,26.61842105263158,45.33303880691528,0.86092544,37,0.012745936,213819.72,778.1322961666933,2023,76,0.035820841789245605,0.0,,,,
,,,,-0.03208648,26.69,67.6807975769043,0.86311555,39,0.011234673,190008.52,755.7859887075264,3047,115,0.0776403546333313,0.0,,,,
,,,,-0.03762507,26.56,90.10141110420227,0.86203283,39,0.0181276,192231.94,725.6261758860337,4074,154,0.08053833246231079,0.0,,,,
,,,,-0.024783857,26.2,112.49453997612,0.8562136,39,0.0072643794,196127.36,783.3036821870086,5110,193,0.06108903884887695,0.0,,,,
,,,,-0.0385846,18.26,141.44906067848206,0.8536408,70,0.013314497,193519.48,317.48110011780284,6144,263,0.017535507678985596,0.0,,,,
,,,,-0.03781785,11.2,174.41972422599792,0.8257285,89,0.0104414355,155632.67,-143.2303417725214,7167,352,0.09285551309585571,0.0,,,,
,,,,-0.043317437,9.75,208.12416172027588,0.82978857,104,0.013157869,173462.28,-213.08152492694228,8184,456,0.13051480054855347,0.0,,,,
,,,,-0.03868359,12.51,240.77062010765076,0.8017922,84,0.010773779,172162.05,-48.646010867744316,9215,540,0.1907009482383728,0.0,,,,
,,,,-0.0417492,11.12,273.36793422698975,0.79772484,85,0.011048816,181769.02,-65.40808726069184,10235,625,0.23685812950134277,0.0,,,,
,,,,-0.037193395,13.65,301.20229983329773,0.78882897,65,0.011337128,181306.33,-0.4039631464110283,11262,690,0.20175951719284058,0.0,,,,
,,,,-0.043696314,15.55,332.89216113090515,0.79426664,78,0.012967003,183812.31,125.6483167495968,12285,768,0.2044687271118164,0.0,,,,
,,,,-0.03721392,10.49,367.1608057022095,0.76633084,95,0.008775807,160413.98,-73.52382729761904,13299,863,0.2547157406806946,0.0,,,,
,,,,-0.04094857,14.82,396.55467438697815,0.7671112,62,0.012995799,203245.27,164.12026591787046,14322,925,0.22411465644836426,0.0,,,,
,,,,-0.037712656,15.87,424.2950367927551,0.7691259,71,0.013290795,189119.0,222.3950237408757,15360,996,0.20676499605178833,0.0,,,,
,,,,-0.045317642,16.3,449.7552926540375,0.76377666,46,0.014979083,248734.6,164.49596889236113,16380,1042,0.02781301736831665,0.0,,,,
,,,,-0.036071323,18.88,476.43321466445923,0.767434,61,0.02240429,187988.66,330.1824527655904,17408,1103,0.16622352600097656,0.0,,,,
,,,,-0.033935834,18.86,500.93265867233276,0.7626683,48,0.017315209,214542.92,454.33210197632945,18417,1151,0.11837941408157349,0.0,,,,
,,,,-0.036117267,22.47,523.5086677074432,0.75247186,40,0.011071335,197278.22,630.4724156653056,19446,1191,0.01292794942855835,0.0,,,,
,,,,-0.028786458,25.62,545.9415609836578,0.7620252,40,0.018013239,197375.14,781.5814701836908,20479,1231,0.004287660121917725,0.0,,,,
,,,,-0.038436133,25.87,568.3329362869263,0.7532272,39,0.015950533,183388.84,734.7591503206824,21500,1270,0.012329936027526855,0.0,,,,
,,,,-0.035610206,25.95,591.1861100196838,0.7345218,39,0.012672561,183709.02,730.7344986372766,22506,1309,0.029421687126159668,0.0,,,,
,,,,-0.032641716,25.74,614.6634695529938,0.7113467,41,0.01973414,182559.62,730.5117261195471,23552,1350,0.0013297200202941895,0.0,,,,
,,,,-0.031693626,25.72,637.0669622421265,0.70801896,39,0.019939363,194264.34,800.6780865429853,24570,1389,0.0011990666389465332,0.0,,,,
,,,,-0.034984637,26.09,659.6261749267578,0.7106587,39,0.014572249,188187.27,823.3921775037519,25583,1428,0.007460474967956543,0.0,,,,
,,,,-0.03700104,26.02,682.0628471374512,0.6993701,40,0.014031591,183994.92,796.7346657472824,26624,1468,0.028573215007781982,0.0,,,,
,,,,-0.03776332,25.84,704.5125300884247,0.7075271,39,0.018046675,188202.66,740.1225480283402,27626,1507,0.02343451976776123,0.0,,,,
,,,,-0.03495375,16.02,734.3624894618988,0.685284,78,0.0145761045,173695.81,205.0167623461695,28665,1585,0.044148385524749756,0.0,,,,
,,,,-0.034769677,17.53,757.2431774139404,0.67024434,39,0.015405944,179899.44,295.33980983228275,29675,1624,0.062213242053985596,0.0,,,,
,,,,-0.033929802,23.66,779.60533618927,0.6423969,39,0.013604834,169182.77,666.8106480350116,30702,1663,0.00537109375,0.0,,,,
,,,,,,,,,,,,,,,,0.5484064942874324,0.6883005977796754,True,0.5484064942874324
,,,,,25.1,11.137131214141846,,20,,,755.9346904892943,502,20,,,,,,0.85
,,,,,26.17948717948718,22.445013523101807,,19,,,817.1550709743026,1021,39,,,,,,0.8974358974358975
